"Date","Type","Rank","Seeking Alpha Symbol","Company Name","Quant","Seeking Alpha Rating","Wall Street Rating","Market Cap (Millions)","Dividend Yield","Valuation","Growth","Profitability","Momentum","EPS Revision","CIK"
"2025-11-01","top_communication","1","LUMN","Lumen Technologies, Inc.","","","","","","","","","","","18926"
"2025-11-01","top_communication","2","AREN","The Arena Group Holdings, Inc.","","","","","","","","","","","894871"
"2025-11-01","top_communication","3","SOHU","Sohu.com Limited","","","","","","","","","","","1734107"
"2025-11-01","top_communication","4","DTEGY","Deutsche Telekom AG","","","","","","","","","","","946770"
"2025-11-01","top_communication","5","DIS","The Walt Disney Company","","","","","","","","","","","1744489"
"2025-11-01","top_communication","6","KT","KT Corporation","","","","","","","","","","","892450"
"2025-11-01","top_communication","7","CCO","Clear Channel Outdoor Holdings, Inc.","","","","","","","","","","","1334978"
"2025-11-01","top_communication","8","TEF","Telefónica, S.A.","","","","","","","","","","",""
"2025-11-01","top_communication","9","VEON","VEON Ltd.","","","","","","","","","","","1468091"
"2025-11-01","top_communication","10","TIGO","Millicom International Cellular S.A.","","","","","","","","","","","912958"
"2025-11-01","top_communication","11","ZH","Zhihu Inc.","","","","","","","","","","","1835724"
"2025-11-01","top_communication","12","IAS","Integral Ad Science Holding Corp.","","","","","","","","","","",""
"2025-11-01","top_communication","13","SPHR","Sphere Entertainment Co.","","","","","","","","","","","1795250"
"2025-11-01","top_communication","14","AMX","América Móvil, S.A.B. de C.V.","","","","","","","","","","","1129137"
"2025-11-01","top_communication","15","CURI","CuriosityStream Inc.","","","","","","","","","","","1776909"
"2025-11-01","top_communication","16","WBTN","WEBTOON Entertainment Inc.","","","","","","","","","","","1997859"
"2025-11-01","top_communication","17","IHS","IHS Holding Limited","","","","","","","","","","","1876183"
"2025-11-01","top_communication","18","TIMB","TIM S.A.","","","","","","","","","","","1826168"
"2025-11-01","top_communication","19","BOC","Boston Omaha Corporation","","","","","","","","","","","1494582"
"2025-11-01","top_communication","20","IMAX","IMAX Corporation","","","","","","","","","","","921582"
"2025-11-01","top_communication","21","MCHX","Marchex, Inc.","","","","","","","","","","","1224133"
"2025-11-01","top_communication","22","NXDR","Nextdoor Holdings, Inc.","","","","","","","","","","","1846069"
"2025-11-01","top_communication","23","MSGE","Madison Square Garden Entertainment Corp.","","","","","","","","","","","1952073"
"2025-11-01","top_communication","24","MTCH","Match Group, Inc.","","","","","","","","","","","891103"
"2025-11-01","top_communication","25","SSTK","Shutterstock, Inc.","","","","","","","","","","","1549346"
"2025-11-01","top_communication","26","NTES","NetEase, Inc.","","","","","","","","","","","1110646"
"2025-11-01","top_communication","27","PINS","Pinterest, Inc.","","","","","","","","","","","1506293"
"2025-11-01","top_communication","28","MGNI","Magnite, Inc.","","","","","","","","","","","1595974"
