Date,Type,Rank,Symbol,Company Name,Quant,SA Analyst Ratings,Wall Street Ratings,Market Cap,Div Yield,Valuation,Growth,Profitability,Momentum,EPS Rev.
2024-03-01,top_rated_overall,1,NKTX,"Nkarta, Inc.",RATING: STRONG BUY4.96,RATING: BUY4.00,RATING: STRONG BUY4.80,648.74M,-,B,A+,B-,A+,B
2024-03-01,top_rated_overall,2,MFG,"Mizuho Financial Group, Inc. SPON ADS EACH REPR 0.20 SHS",RATING: STRONG BUY4.94,RATING: BUY4.00,RATING: BUY4.00,48.66B,3.33%,A+,B-,A+,B+,A+
2024-03-01,top_rated_overall,3,BLBD,Blue Bird Corporation,RATING: STRONG BUY4.94,RATING: BUY4.00,RATING: STRONG BUY4.57,1.09B,-,A-,A+,A,A+,A
2024-03-01,top_rated_overall,4,AXAHY,AXA SA ADS-EACH REP 1 ORD EUR2.29,RATING: STRONG BUY4.93,RATING: BUY3.50,RATING: BUY4.00,78.17B,5.25%,B,B-,A,B,A-
2024-03-01,top_rated_overall,5,HMC,"Honda Motor Co., Ltd. ADR-EACH CNV INTO 1 ORD NPV",RATING: STRONG BUY4.90,RATING: BUY3.75,RATING: BUY3.75,58.18B,2.85%,A-,B+,A,B+,A+
2024-03-01,top_rated_overall,6,TNK,Teekay Tankers Ltd.,RATING: STRONG BUY4.87,RATING: STRONG BUY4.50,RATING: STRONG BUY4.85,1.85B,1.84%,B,B-,A-,A,A+
2024-03-01,top_rated_overall,7,PAGS,PagSeguro Digital Ltd.,RATING: STRONG BUY4.87,RATING: BUY4.00,RATING: BUY3.76,4.01B,-,A,B,B-,A,A-
2024-03-01,top_rated_overall,8,GBDC,Golub Capital BDC,RATING: STRONG BUY4.84,RATING: BUY3.66,RATING: BUY3.80,2.67B,9.34%,A,B+,A-,B-,A
2024-03-01,top_rated_overall,9,TKC,Turkcell Iletisim Hizmetleri A.S. ADS EACH REPR 2.5 TRADABLE SHS TRY1,RATING: STRONG BUY4.83,RATING: BUY4.00,RATING: STRONG BUY5.00,4.39B,1.72%,A,A+,B,B+,A+
2024-03-01,top_rated_overall,10,KOF,"Coca-Cola FEMSA, S.A.B. de C.V. ADS ECH REP 10 UNTS(ECH UT CONSIT SER L)",RATING: STRONG BUY4.82,RATING: BUY4.00,RATING: BUY3.92,20.45B,3.36%,B-,B-,B+,A,A
2024-03-01,top_rated_overall,11,EZPW,"EZCORP, Inc.",RATING: STRONG BUY4.80,RATING: STRONG BUY4.50,RATING: STRONG BUY5.00,575.81M,-,B-,B+,B-,A-,A-
2024-03-01,top_rated_overall,12,DLNG,Dynagas LNG Partners LP Common Units,RATING: STRONG BUY4.79,RATING: BUY4.00,RATING: STRONG BUY5.00,107.93M,-,B-,B-,A,B,A+
2024-03-01,top_rated_overall,13,TCNNF,Trulieve Cannabis Corp.,RATING: STRONG BUY4.76,RATING: BUY3.50,RATING: STRONG BUY4.80,1.87B,-,B-,B+,A-,A,B+
2024-03-01,top_rated_overall,14,RDCM,RADCOM Ltd.,RATING: STRONG BUY4.75,RATING: BUY4.00,RATING: STRONG BUY4.50,157.52M,-,B-,A-,B,B,A
2024-03-01,top_rated_overall,15,CNC,Centene Corporation,RATING: STRONG BUY4.75,RATING: BUY4.00,RATING: BUY4.05,41.40B,-,A-,B-,A+,B,A
2024-03-01,top_rated_overall,16,ALKS,Alkermes plc,RATING: STRONG BUY4.64,RATING: BUY3.50,RATING: BUY3.66,4.97B,-,A,A+,A+,B-,A
2024-03-01,top_rated_overall,17,DHI,"D.R. Horton, Inc.",RATING: STRONG BUY4.63,RATING: BUY4.00,RATING: BUY3.88,50.14B,0.73%,B-,A-,A,A,B+
2024-03-01,top_rated_overall,18,SURG,"SurgePays, Inc.",RATING: STRONG BUY4.63,RATING: BUY4.20,RATING: STRONG BUY4.50,115.08M,-,A-,A+,A,A-,A-
2024-03-01,top_rated_overall,19,STNE,StoneCo Ltd.,RATING: STRONG BUY4.63,RATING: BUY4.00,RATING: BUY3.55,4.93B,-,A,A+,B,A,B
2024-03-01,top_rated_overall,20,NOTV,"Inotiv, Inc.",RATING: STRONG BUY4.59,RATING: STRONG BUY5.00,RATING: STRONG BUY5.00,206.07M,-,B-,A-,B+,A,B-
2024-03-01,top_rated_overall,21,ASC,Ardmore Shipping Corporation,RATING: STRONG BUY4.55,RATING: BUY3.66,RATING: STRONG BUY5.00,654.27M,5.74%,B,A-,A-,B+,A
2024-03-01,top_rated_overall,22,HTGC,"Hercules Capital, Inc.",RATING: BUY4.47,RATING: BUY4.00,RATING: BUY3.88,2.84B,8.76%,A-,A+,A+,B+,B
2024-03-01,top_rated_overall,23,TIMB,TIM S.A. SPON ADS EACH REP 5 ORD SHS,RATING: BUY4.34,RATING: BUY4.00,RATING: BUY3.77,8.74B,2.47%,B-,B+,A-,A,B+
2024-03-01,top_rated_overall,24,SSREY,Swiss Re AG SPON ADR EACH REPR 0.25 ORD SHS,RATING: BUY4.32,RATING: BUY4.00,RATING: BUY4.00,35.29B,5.23%,A-,A,A,B+,B-
2024-03-01,top_rated_overall,25,PARR,"Par Pacific Holdings, Inc.",RATING: BUY4.25,RATING: BUY4.00,RATING: BUY3.83,2.09B,-,B+,B,B-,A-,A-
2024-03-01,top_rated_overall,26,NAT,Nordic American Tankers Limited,RATING: BUY4.18,RATING: BUY4.00,RATING: STRONG BUY4.50,839.36M,12.19%,A,A,A,B-,B
2024-03-01,top_rated_overall,27,DNOW,DNOW Inc.,RATING: BUY4.11,RATING: BUY4.00,RATING: BUY4.33,1.52B,-,A,B,B,A-,B
2024-03-01,top_rated_overall,28,SLVM,Sylvamo Corporation,RATING: BUY3.96,RATING: BUY3.50,RATING: BUY4.00,2.48B,1.83%,B-,A-,B,A,B
2024-03-01,top_rated_overall,29,GES,"Guess?, Inc.",RATING: BUY3.96,RATING: BUY3.50,RATING: BUY3.66,1.39B,4.35%,B+,B-,B-,B+,B+
2024-03-01,top_quant,1,SMCI,"Super Micro Computer, Inc.",RATING: STRONG BUY4.99,RATING: HOLD3.30,RATING: BUY4.00,61.01B,-,D+,A,B,A+,A+
2024-03-01,top_quant,2,BMR,Beamr Imaging Ltd.,RATING: STRONG BUY4.99,-RATING: NOT COVERED,RATING: STRONG BUY5.00,89.72M,-,B-,A+,D,A+,A
2024-03-01,top_quant,3,GCT,GigaCloud Technology Inc.,RATING: STRONG BUY4.99,RATING: BUY3.85,RATING: STRONG BUY4.50,1.54B,-,C-,B,A-,A+,A
2024-03-01,top_quant,4,DELL,Dell Technologies Inc.,RATING: STRONG BUY4.99,RATING: BUY3.66,RATING: BUY4.15,83.17B,1.26%,D,C+,A+,A+,A+
2024-03-01,top_quant,5,ANF,Abercrombie & Fitch Co.,RATING: STRONG BUY4.99,RATING: HOLD2.75,RATING: BUY3.66,7.05B,-,D+,B+,B+,A+,A
2024-03-01,top_quant,6,FMCC,Federal Home Loan Mortgage Corporation,RATING: STRONG BUY4.99,-RATING: NOT COVERED,RATING: HOLD2.50,3.51B,-,A+,B+,A+,A+,C+
2024-03-01,top_quant,7,FNMA,Federal National Mortgage Association,RATING: STRONG BUY4.99,RATING: HOLD3.00,RATING: BUY4.00,7.12B,-,A,B+,A+,A+,C+
2024-03-01,top_quant,8,CLS,Celestica Inc.,RATING: STRONG BUY4.98,RATING: BUY4.28,RATING: BUY4.11,5.44B,-,B+,C+,B-,A+,A+
2024-03-01,top_quant,9,MOD,Modine Manufacturing Company,RATING: STRONG BUY4.98,RATING: BUY4.00,RATING: STRONG BUY4.75,4.65B,-,D,A,B,A+,A+
2024-03-01,top_quant,10,RYCEY,Rolls-Royce Holdings plc SPON ADR REPR 5 ORD SHS GBP0.20,RATING: STRONG BUY4.98,RATING: HOLD3.00,RATING: BUY4.33,39.84B,-,B,A,A+,A+,A
2024-03-01,top_quant,11,APP,AppLovin Corporation,RATING: STRONG BUY4.98,RATING: BUY4.00,RATING: BUY4.05,20.08B,-,C-,A,A,A+,A
2024-03-01,top_quant,12,GAU,Galiano Gold Inc.,RATING: STRONG BUY4.98,RATING: SELL2.00,RATING: BUY3.75,281.57M,-,A+,A+,B-,A+,A
2024-03-01,top_quant,13,VKTX,"Viking Therapeutics, Inc.",RATING: STRONG BUY4.98,RATING: BUY4.00,RATING: STRONG BUY4.60,9.61B,-,C,A,C-,A+,B+
2024-03-01,top_quant,14,ACMR,"ACM Research, Inc.",RATING: STRONG BUY4.98,RATING: BUY4.00,RATING: BUY4.42,1.79B,-,B-,B+,D+,A+,A
2024-03-01,top_quant,15,SKYW,"SkyWest, Inc.",RATING: STRONG BUY4.97,RATING: STRONG BUY5.00,RATING: BUY3.80,2.68B,-,A+,A+,C+,A+,A
2024-03-01,top_quant,16,TARS,"Tarsus Pharmaceuticals, Inc.",RATING: STRONG BUY4.97,-RATING: NOT COVERED,RATING: STRONG BUY4.55,1.32B,-,C,A,C+,A+,A+
2024-03-01,top_quant,17,TM,Toyota Motor Corporation Depositary Receipt,RATING: STRONG BUY4.97,RATING: BUY3.66,RATING: HOLD3.00,335.25B,1.81%,C+,A+,A+,A,A+
2024-03-01,top_quant,18,VIRC,Virco Mfg. Corporation,RATING: STRONG BUY4.97,RATING: HOLD2.50,RATING: STRONG BUY5.00,162.82M,0.20%,B+,A+,B,A+,A
2024-03-01,top_quant,19,CRDF,"Cardiff Oncology, Inc.",RATING: STRONG BUY4.97,-RATING: NOT COVERED,RATING: STRONG BUY4.50,163.07M,-,C,C-,C+,A+,A
2024-03-01,top_quant,20,IMNM,"Immunome, Inc.",RATING: STRONG BUY4.97,RATING: SELL2.00,RATING: STRONG BUY5.00,1.40B,-,D+,A+,A-,A+,C-
2024-03-01,top_quant,21,BRK.B,Berkshire Hathaway Inc.,RATING: STRONG BUY4.97,RATING: HOLD3.30,RATING: BUY3.66,867.88B,-,B-,B+,A+,B+,A
2024-03-01,top_quant,22,MGNX,"MacroGenics, Inc.",RATING: STRONG BUY4.96,RATING: HOLD3.00,RATING: BUY4.30,1.28B,-,C-,B-,B,A+,B
2024-03-01,top_quant,23,BRK.A,Berkshire Hathaway Inc.,RATING: STRONG BUY4.96,RATING: HOLD3.31,RATING: BUY3.66,867.88B,-,B-,B,A+,B+,A+
2024-03-01,top_quant,24,NKTX,"Nkarta, Inc.",RATING: STRONG BUY4.96,RATING: BUY4.00,RATING: STRONG BUY4.80,648.74M,-,B,A+,B-,A+,B
2024-03-01,top_quant,25,EPIX,ESSA Pharma Inc.,RATING: STRONG BUY4.96,-RATING: NOT COVERED,RATING: STRONG BUY4.75,403.45M,-,B,B-,B,A+,A-
2024-03-01,top_quant,26,ISNPY,Intesa Sanpaolo S.p.A. SPONSORED ADR,RATING: STRONG BUY4.96,RATING: BUY4.00,RATING: HOLD3.00,60.61B,7.61%,A+,A-,A+,A-,A
2024-03-01,top_quant,27,CGEN,Compugen Ltd.,RATING: STRONG BUY4.96,-RATING: NOT COVERED,RATING: STRONG BUY5.00,225.23M,-,C+,C+,D+,A+,A
2024-03-01,top_quant,28,JANX,"Janux Therapeutics, Inc.",RATING: STRONG BUY4.96,RATING: HOLD2.66,RATING: STRONG BUY4.83,2.23B,-,C,C,B,A+,B+
2024-03-01,top_quant,29,IOVA,"Iovance Biotherapeutics, Inc.",RATING: STRONG BUY4.95,RATING: BUY3.60,RATING: STRONG BUY4.50,4.61B,-,C,C-,B-,A+,A-
2024-03-01,top_quant,30,INTR,"Inter & Co, Inc.",RATING: STRONG BUY4.95,RATING: BUY4.00,RATING: BUY3.50,2.45B,-,C+,A+,B,A+,A-
2024-03-01,top_quant,31,STRL,"Sterling Infrastructure, Inc.",RATING: STRONG BUY4.95,RATING: BUY3.80,RATING: HOLD3.00,3.35B,-,B-,B+,A-,A+,A
2024-03-01,top_quant,32,AMR,"Alpha Metallurgical Resources, Inc.",RATING: STRONG BUY4.95,RATING: BUY4.00,RATING: BUY4.00,4.84B,0.63%,C+,C,A+,A+,A
2024-03-01,top_quant,33,UTI,"Universal Technical Institute, Inc.",RATING: STRONG BUY4.95,RATING: HOLD3.00,RATING: STRONG BUY4.80,815.65M,-,D+,B,C,A+,A+
2024-03-01,top_quant,34,EWTX,"Edgewise Therapeutics, Inc.",RATING: STRONG BUY4.95,RATING: BUY4.00,RATING: STRONG BUY4.60,1.58B,-,B-,C,B-,A+,A
2024-03-01,top_quant,35,DFH,"Dream Finders Homes, Inc.",RATING: STRONG BUY4.95,RATING: BUY4.00,RATING: HOLD3.00,3.52B,-,B-,C,B+,A+,A+
2024-03-01,top_quant,36,SERA,"Sera Prognostics, Inc.",RATING: STRONG BUY4.95,RATING: HOLD3.00,RATING: STRONG BUY5.00,296.76M,-,C,C+,B-,A+,B
2024-03-01,top_quant,37,FLXS,"Flexsteel Industries, Inc.",RATING: STRONG BUY4.94,RATING: BUY3.50,-RATING: NOT COVERED,185.25M,1.67%,D+,A-,C,A+,A+
2024-03-01,top_quant,38,DSP,Viant Technology Inc.,RATING: STRONG BUY4.94,RATING: HOLD3.00,RATING: BUY4.16,586.12M,-,A,B,C+,A+,A+
2024-03-01,top_quant,39,ESEA,Euroseas Ltd.,RATING: STRONG BUY4.94,RATING: HOLD3.00,RATING: STRONG BUY4.50,271.59M,5.17%,A+,C,B,A+,A+
2024-03-01,top_quant,40,MFG,"Mizuho Financial Group, Inc. SPON ADS EACH REPR 0.20 SHS",RATING: STRONG BUY4.94,RATING: BUY4.00,RATING: BUY4.00,48.66B,3.33%,A+,B-,A+,B+,A+
2024-03-01,top_quant,41,OKTA,"Okta, Inc.",RATING: STRONG BUY4.94,RATING: HOLD3.16,RATING: BUY3.73,17.91B,-,C-,A+,A-,A-,A
2024-03-01,top_quant,42,AMD,"Advanced Micro Devices, Inc.",RATING: STRONG BUY4.94,RATING: HOLD3.23,RATING: BUY4.29,331.49B,-,D,A,B+,A+,C-
2024-03-01,top_quant,43,BLBD,Blue Bird Corporation,RATING: STRONG BUY4.94,RATING: BUY4.00,RATING: STRONG BUY4.57,1.09B,-,A-,A+,A,A+,A
2024-03-01,top_quant,44,TOL,"Toll Brothers, Inc.",RATING: STRONG BUY4.93,RATING: BUY3.50,RATING: BUY3.95,12.07B,0.72%,C-,C-,A-,A+,A
2024-03-01,top_quant,45,CMPR,Cimpress plc,RATING: STRONG BUY4.93,RATING: HOLD3.00,RATING: STRONG BUY4.50,2.49B,-,C+,A,C+,A+,A+
2024-03-01,top_quant,46,AXAHY,AXA SA ADS-EACH REP 1 ORD EUR2.29,RATING: STRONG BUY4.93,RATING: BUY3.50,RATING: BUY4.00,78.17B,5.25%,B,B-,A,B,A-
2024-03-01,top_quant,47,PYXS,"Pyxis Oncology, Inc.",RATING: STRONG BUY4.93,RATING: HOLD3.00,RATING: STRONG BUY4.71,285.76M,-,B,A-,C,A+,C+
2024-03-01,top_quant,48,BRFS,BRF S.A. SPONSORED ADR,RATING: STRONG BUY4.93,RATING: HOLD3.00,RATING: HOLD2.75,5.40B,-,B-,B,D+,A+,A+
2024-03-01,top_quant,49,CAH,"Cardinal Health, Inc.",RATING: STRONG BUY4.93,RATING: BUY4.00,RATING: HOLD3.38,27.47B,1.77%,B+,B,A+,B+,A
2024-03-01,top_quant,50,BITF,Bitfarms Ltd.,RATING: STRONG BUY4.93,RATING: BUY3.50,RATING: STRONG BUY4.60,828.34M,-,B-,C,D+,A+,A-
2024-03-01,top_quant,51,TCOM,Trip.com Group Limited ADR EACH REPR 0.125 ORD SHS,RATING: STRONG BUY4.92,RATING: BUY4.00,RATING: STRONG BUY4.67,27.17B,-,A-,A+,C+,B+,A
2024-03-01,top_quant,52,EYPT,"EyePoint Pharmaceuticals, Inc.",RATING: STRONG BUY4.92,RATING: BUY3.50,RATING: STRONG BUY4.70,1.20B,-,D+,A-,B,A+,C
2024-03-01,top_quant,53,GM,General Motors Company,RATING: STRONG BUY4.92,RATING: HOLD3.44,RATING: BUY4.14,46.93B,0.96%,C+,C+,A+,B,A
2024-03-01,top_quant,54,SFM,"Sprouts Farmers Market, Inc.",RATING: STRONG BUY4.92,RATING: HOLD3.00,RATING: HOLD3.00,6.36B,-,D+,B-,C+,A+,A
2024-03-01,top_quant,55,FUJHY,Subaru Corporation UNSPON ADR EACH REP 0.5 ORD SHS,RATING: STRONG BUY4.92,RATING: BUY4.00,RATING: HOLD3.00,16.45B,2.71%,A+,A-,A-,A-,A+
2024-03-01,top_quant,56,LQDA,Liquidia Corporation,RATING: STRONG BUY4.92,RATING: HOLD3.33,RATING: STRONG BUY4.66,1.05B,-,C-,A+,D,A,A
2024-03-01,top_quant,57,CRH,CRH plc,RATING: STRONG BUY4.92,RATING: HOLD3.00,RATING: STRONG BUY4.50,56.01B,4.46%,B-,B-,A+,A+,A
2024-03-01,top_quant,58,MUFG,"Mitsubishi UFJ Financial Group, Inc. ADR EACH REP 1 ORD NPV",RATING: STRONG BUY4.91,RATING: BUY3.50,RATING: BUY3.66,126.51B,2.36%,D+,A-,A+,A+,A+
2024-03-01,top_quant,59,HTHIY,"Hitachi, Ltd. ADR EACH REPR 2 ORD NPV",RATING: STRONG BUY4.91,RATING: BUY4.00,RATING: STRONG BUY4.50,82.27B,1.22%,D+,C-,A,A,A
2024-03-01,top_quant,60,USAP,"Universal Stainless & Alloy Products, Inc.",RATING: STRONG BUY4.91,RATING: HOLD3.00,RATING: STRONG BUY5.00,187.13M,-,B-,A,C,A+,A+
2024-03-01,top_quant,61,GOOG,Alphabet Inc.,RATING: STRONG BUY4.91,RATING: BUY3.50,RATING: BUY4.32,1.66T,-,D,B,A+,B+,B+
2024-03-01,top_quant,62,GOOGL,Alphabet Inc.,RATING: STRONG BUY4.91,RATING: HOLD3.45,RATING: BUY4.32,1.66T,-,D+,B,A+,B+,B+
2024-03-01,top_quant,63,CXDO,"Crexendo, Inc.",RATING: STRONG BUY4.91,RATING: BUY4.00,RATING: BUY4.33,139.55M,-,C+,B-,D,A+,C+
2024-03-01,top_quant,64,DTRUY,Daimler Truck Holding AG SPON ADS EACH REP 0.5 ORD SHS,RATING: STRONG BUY4.91,RATING: BUY4.00,RATING: STRONG BUY5.00,37.67B,3.05%,B+,C-,C+,A,A
2024-03-01,top_quant,65,CI,The Cigna Group,RATING: STRONG BUY4.91,RATING: BUY3.85,RATING: BUY4.34,97.28B,1.53%,D+,B,A+,B+,A
2024-03-01,top_quant,66,HMC,"Honda Motor Co., Ltd. ADR-EACH CNV INTO 1 ORD NPV",RATING: STRONG BUY4.90,RATING: BUY3.75,RATING: BUY3.75,58.18B,2.85%,A-,B+,A,B+,A+
2024-03-01,top_quant,67,TKOMY,"Tokio Marine Holdings, Inc. ADR",RATING: STRONG BUY4.90,-RATING: NOT COVERED,RATING: HOLD3.00,58.08B,2.59%,C,A,B+,A,A+
2024-03-01,top_quant,68,AZEK,The AZEK Company Inc.,RATING: STRONG BUY4.90,RATING: BUY4.00,RATING: BUY4.42,7.02B,-,D+,B+,B+,A+,A-
2024-03-01,top_quant,69,RCL,Royal Caribbean Cruises Ltd.,RATING: STRONG BUY4.90,RATING: BUY3.50,RATING: BUY4.34,32.37B,-,C-,A,A,A,A+
