Date,Type,Rank,Symbol,Company Name,Quant,SA Analyst Ratings,Wall Street Ratings,Market Cap,Div Yield,Valuation,Growth,Profitability,Momentum,EPS Rev.
2024-04-01,top_rated_overall,1,NLCP,"NewLake Capital Partners, Inc.",RATING: STRONG BUY4.96,RATING: BUY3.75,RATING: STRONG BUY5.00,415.23M,8.34%,A-,B+,A+,A+,A+
2024-04-01,top_rated_overall,2,GM,General Motors Company,RATING: STRONG BUY4.94,RATING: BUY3.70,RATING: BUY4.06,51.82B,0.87%,B+,A,A+,A-,A
2024-04-01,top_rated_overall,3,INTR,"Inter & Co, Inc.",RATING: STRONG BUY4.92,RATING: BUY4.00,RATING: BUY3.50,2.30B,-,A-,A+,B-,A+,B+
2024-04-01,top_rated_overall,4,AXAHY,AXA SA,RATING: STRONG BUY4.91,RATING: BUY4.00,RATING: STRONG BUY4.50,82.35B,4.97%,B-,B+,A,A-,A
2024-04-01,top_rated_overall,5,DESP,"Despegar.com, Corp.",RATING: STRONG BUY4.90,RATING: BUY4.00,RATING: STRONG BUY4.66,791.35M,-,B,A,A-,A+,A+
2024-04-01,top_rated_overall,6,TNP,Tsakos Energy Navigation Limited,RATING: STRONG BUY4.89,RATING: BUY4.00,RATING: STRONG BUY5.00,760.95M,2.33%,A-,A+,B-,A-,A+
2024-04-01,top_rated_overall,7,HMC,"Honda Motor Co., Ltd.",RATING: STRONG BUY4.87,RATING: BUY3.66,RATING: BUY3.66,58.73B,2.81%,B+,B,A,B+,A+
2024-04-01,top_rated_overall,8,PAGS,PagSeguro Digital Ltd.,RATING: STRONG BUY4.86,RATING: BUY4.00,RATING: BUY4.05,4.34B,-,A,B,B-,A+,A-
2024-04-01,top_rated_overall,9,ICAGY,International Consolidated Airlines Group S.A.,RATING: STRONG BUY4.85,RATING: BUY4.00,RATING: STRONG BUY5.00,10.76B,-,A+,B-,A+,B-,A+
2024-04-01,top_rated_overall,10,GBDC,Golub Capital BDC,RATING: STRONG BUY4.83,RATING: BUY3.60,RATING: BUY4.20,2.83B,8.79%,A-,B+,A-,B,A
2024-04-01,top_rated_overall,11,SNX,TD SYNNEX Corporation,RATING: STRONG BUY4.82,RATING: BUY4.00,RATING: BUY4.08,10.05B,1.25%,A-,B-,B,B,A+
2024-04-01,top_rated_overall,12,BLBD,Blue Bird Corporation,RATING: STRONG BUY4.80,RATING: BUY4.33,RATING: STRONG BUY4.57,1.20B,-,B+,A,A,A+,A-
2024-04-01,top_rated_overall,13,STNE,StoneCo Ltd.,RATING: STRONG BUY4.80,RATING: BUY4.12,RATING: BUY3.72,5.02B,-,A,A+,B+,A,A-
2024-04-01,top_rated_overall,14,EZPW,"EZCORP, Inc.",RATING: STRONG BUY4.80,RATING: STRONG BUY4.50,RATING: STRONG BUY5.00,601.73M,-,B-,B+,B-,A,A
2024-04-01,top_rated_overall,15,LMB,"Limbach Holdings, Inc.",RATING: STRONG BUY4.78,RATING: BUY4.00,RATING: STRONG BUY4.50,450.95M,-,B,A-,B,A,A
2024-04-01,top_rated_overall,16,TNK,Teekay Tankers Ltd.,RATING: STRONG BUY4.75,RATING: BUY4.33,RATING: STRONG BUY4.85,2.04B,1.67%,B,B-,A-,A,A+
2024-04-01,top_rated_overall,17,RDCM,RADCOM Ltd.,RATING: STRONG BUY4.74,RATING: BUY4.00,RATING: STRONG BUY4.50,168.67M,-,B-,B+,B,A-,A+
2024-04-01,top_rated_overall,18,FRO,Frontline plc,RATING: STRONG BUY4.73,RATING: BUY3.75,RATING: BUY4.44,5.26B,9.19%,B,A,A-,A,A
