Date,Type,Rank,Symbol,Company Name,Quant,SA Analyst Ratings,Wall Street Ratings,Market Cap,Div Yield,Valuation,Growth,Profitability,Momentum,EPS Rev.
2023-12-01,top_rated_overall,1,DERM,Journey Medical Corporation,RATING: STRONG BUY4.99,RATING: BUY4.00,RATING: STRONG BUY4.50,113.64M,-,B,B+,B+,A+,A+
2023-12-01,top_rated_overall,2,CLS,Celestica Inc.,RATING: STRONG BUY4.98,RATING: BUY3.71,RATING: BUY4.28,3.28B,-,A-,B,B-,A+,A-
2023-12-01,top_rated_overall,3,GCT,GigaCloud Technology Inc.,RATING: STRONG BUY4.97,RATING: BUY3.50,RATING: STRONG BUY4.66,580.03M,-,A-,A-,A-,A+,A+
2023-12-01,top_rated_overall,4,WEDXF,The Westaim Corporation,RATING: STRONG BUY4.96,RATING: BUY4.00,RATING: BUY4.00,374.76M,-,A+,B-,A+,A,A
2023-12-01,top_rated_overall,5,FCNCA,"First Citizens BancShares, Inc.",RATING: STRONG BUY4.95,RATING: BUY4.00,RATING: BUY4.10,20.75B,0.27%,A-,A+,A-,A+,A+
2023-12-01,top_rated_overall,6,STNE,StoneCo Ltd.,RATING: STRONG BUY4.93,RATING: BUY3.60,RATING: BUY3.76,4.93B,-,B+,A+,B,A+,B+
2023-12-01,top_rated_overall,7,ENIC,Enel Chile S.A.,RATING: STRONG BUY4.92,RATING: BUY4.00,RATING: BUY3.50,4.61B,9.86%,A+,A+,A-,A+,A
2023-12-01,top_rated_overall,8,AVVIY,Aviva plc,RATING: STRONG BUY4.91,RATING: BUY4.00,RATING: BUY4.00,14.73B,7.20%,A+,B,A+,B-,A-
2023-12-01,top_rated_overall,9,RCMT,"RCM Technologies, Inc.",RATING: STRONG BUY4.91,RATING: BUY3.50,RATING: STRONG BUY5.00,208.11M,-,B,B+,A,A+,A+
2023-12-01,top_rated_overall,10,CNM,"Core & Main, Inc.",RATING: STRONG BUY4.91,RATING: BUY4.00,RATING: BUY4.00,8.23B,-,B-,B,A-,A+,A-
